ID,Name,Satellite Type,Characteristic Length [m],A/M [m^2/kg],Area [m^2],Mass [kg],Ejection Velocity [m/s],Velocity [m/s],Position [m]
25731,Fengyun 1C-Collision-Fragment,DEBRIS,0.06914391185273937,0.2740610755814326,0.002629408797875505,0.009594243882671404,[111.78522994848228 5.281142112985057 -274.83697314293005],[111.78522994848228 5.281142112985057 -274.83697314293005],[0 0 0]
25732,Fengyun 1C-Collision-Fragment,DEBRIS,0.05340530371339352,0.0649615716196965,0.001566718374509378,0.02411761808475621,[55.68225839663121 4.628148355906924 38.04313652549372],[55.68225839663121 4.628148355906924 38.04313652549372],[0 0 0]
25733,Fengyun 1C-Collision-Fragment,DEBRIS,0.05499669397277571,0.05012627736613505,0.0016617104798726677,0.03315048647508995,[-8.782044803510322 6.270113555444693 0.4826825948516446],[-8.782044803510322 6.270113555444693 0.4826825948516446],[0 0 0]
25734,Fengyun 1C-Collision-Fragment,DEBRIS,0.09738468024519999,0.0901220967301874,0.005224343356004948,0.05796961617133566,[23.18439774502855 -11.277388066583995 15.362286086543481],[23.18439774502855 -11.277388066583995 15.362286086543481],[0 0 0]
25735,Fengyun 1C-Collision-Fragment,DEBRIS,0.7735646267098418,0.04693838196297602,0.33287454773226327,7.0917346063361855,[-102.40634239296034 17.455876682315246 62.202558854150745],[-102.40634239296034 17.455876682315246 62.202558854150745],[0 0 0]
25736,Fengyun 1C-Collision-Fragment,DEBRIS,0.06690325632748667,0.731956812045852,0.002461372704348392,0.003362729417694393,[-738.1715836951242 -912.0962129573985 252.1815841035459],[-738.1715836951242 -912.0962129573985 252.1815841035459],[0 0 0]
25737,Fengyun 1C-Collision-Fragment,DEBRIS,0.0804429437407362,0.22546917417758258,0.0035615216175380257,0.015796046756852547,[-166.14232708578209 10.883802258272121 124.20527246286564],[-166.14232708578209 10.883802258272121 124.20527246286564],[0 0 0]
25738,Fengyun 1C-Collision-Fragment,DEBRIS,0.0895729108115387,0.1389103539700668,0.004418072584672398,0.03180520715989558,[120.80620425049908 824.8202250789586 281.48101303847557],[120.80620425049908 824.8202250789586 281.48101303847557],[0 0 0]
25739,Fengyun 1C-Collision-Fragment,DEBRIS,0.09260065528312424,0.056577655399850636,0.004722539056384777,0.08347003818043057,[-53.07212429016601 -4.864038945523727 -23.513425000051384],[-53.07212429016601 -4.864038945523727 -23.513425000051384],[0 0 0]
25740,Fengyun 1C-Collision-Fragment,DEBRIS,0.32818830587919257,0.366117334309001,0.05967337018123933,0.1629897428753683,[40.955745850034226 313.9835100450617 190.4344398963312],[40.955745850034226 313.9835100450617 190.4344398963312],[0 0 0]
25741,Fengyun 1C-Collision-Fragment,DEBRIS,0.0665904667297608,0.022804026526345368,0.002438357634663885,0.10692662683262817,[6.28934216673968 8.585664013816181 -39.22806634023543],[6.28934216673968 8.585664013816181 -39.22806634023543],[0 0 0]
25742,Fengyun 1C-Collision-Fragment,DEBRIS,0.05030745887686579,0.1242863351362926,0.0013898398055324198,0.011182563264161898,[-12.549394118393636 -4.371531091058589 -68.12667896502691],[-12.549394118393636 -4.371531091058589 -68.12667896502691],[0 0 0]
25743,Fengyun 1C-Collision-Fragment,DEBRIS,0.05009609083159485,0.0961095102081927,0.0013781581297824836,0.014339456384671127,[-8.89160558063915 -15.945180339216261 -20.937175209408647],[-8.89160558063915 -15.945180339216261 -20.937175209408647],[0 0 0]
25744,Fengyun 1C-Collision-Fragment,DEBRIS,0.1297342599857084,0.07715557079958876,0.009284236498346796,0.12033138245406229,[-14.561881573872494 -21.363931527230367 8.558739649515983],[-14.561881573872494 -21.363931527230367 8.558739649515983],[0 0 0]
25745,Fengyun 1C-Collision-Fragment,DEBRIS,0.06997486225915617,0.3330765553879762,0.002693138866958334,0.008085645246995232,[-365.217606868091 627.3799559768136 386.94540409636863],[-365.217606868091 627.3799559768136 386.94540409636863],[0 0 0]
25746,Fengyun 1C-Collision-Fragment,DEBRIS,0.07021396169447718,0.09266201341071097,0.0027116184062545485,0.02926353860060964,[-85.08572983499418 -20.520161840128303 56.7544496401955],[-85.08572983499418 -20.520161840128303 56.7544496401955],[0 0 0]
25747,Fengyun 1C-Collision-Fragment,DEBRIS,0.06051628903735049,0.08895904981930784,0.0020129004944481614,0.022627270620996197,[119.00084031562173 98.93536702102504 -1.3630072459279854],[119.00084031562173 98.93536702102504 -1.3630072459279854],[0 0 0]
25748,Fengyun 1C-Collision-Fragment,DEBRIS,0.1450907457951574,0.3353762315776576,0.011618364217838042,0.03464277764462795,[499.5982490083457 -933.5902276083782 115.17191907006008],[499.5982490083457 -933.5902276083782 115.17191907006008],[0 0 0]
25749,Fengyun 1C-Collision-Fragment,DEBRIS,0.11514714790922245,0.02555565467354876,0.00730969643910748,0.286030490413276,[16.67244512943004 1.9901184411814645 -6.90170045208959],[16.67244512943004 1.9901184411814645 -6.90170045208959],[0 0 0]
25750,Fengyun 1C-Collision-Fragment,DEBRIS,0.05183370178316731,0.39233312653496183,0.0014756574028739887,0.0037612358046510484,[278.14085124726233 249.4766948658219 589.727504408807],[278.14085124726233 249.4766948658219 589.727504408807],[0 0 0]
25751,Fengyun 1C-Collision-Fragment,DEBRIS,0.06345482329688384,2.037842178460309,0.0022136244870389833,0.0010862590393096517,[1685.4805676996775 -755.1035297591118 -1812.650703940068],[1685.4805676996775 -755.1035297591118 -1812.650703940068],[0 0 0]
25752,Fengyun 1C-Collision-Fragment,DEBRIS,0.06830364671889519,0.0630968940255875,0.002565742117352635,0.040663524837088766,[-715.3613185265586 31.369043703674574 -257.7070308190834],[-715.3613185265586 31.369043703674574 -257.7070308190834],[0 0 0]
25753,Fengyun 1C-Collision-Fragment,DEBRIS,0.08725939502512865,0.07640295303236105,0.004192280821453875,0.054870664746141454,[36.29603206229682 -49.09996996087649 -2.552493838816991],[36.29603206229682 -49.09996996087649 -2.552493838816991],[0 0 0]
25754,Fengyun 1C-Collision-Fragment,DEBRIS,0.17658637225815968,0.18102029612892054,0.01722588640594224,0.09515997252415367,[48.31821607746824 -57.76782724760998 -63.955433769012906],[48.31821607746824 -57.76782724760998 -63.955433769012906],[0 0 0]
25755,Fengyun 1C-Collision-Fragment,DEBRIS,0.1137172573708639,0.048627186621402245,0.007128861493938243,0.14660238416508808,[-19.40625544799077 -17.156208890134042 -6.8322194644810486],[-19.40625544799077 -17.156208890134042 -6.8322194644810486],[0 0 0]
25756,Fengyun 1C-Collision-Fragment,DEBRIS,0.09107226825590888,0.12434460536156758,0.004567575325496424,0.036733200545491215,[-189.11240580017483 83.2071747338928 384.33224962211494],[-189.11240580017483 83.2071747338928 384.33224962211494],[0 0 0]
25757,Fengyun 1C-Collision-Fragment,DEBRIS,0.09228893592198527,0.17766833382096214,0.004690723369945492,0.026401572351505094,[-12.172973632852841 18.73656185274139 -31.359998590664702],[-12.172973632852841 18.73656185274139 -31.359998590664702],[0 0 0]
25758,Fengyun 1C-Collision-Fragment,DEBRIS,0.08641211938880534,0.1769065798420036,0.004111074394638388,0.02323867432353288,[626.36377806826 188.75642018034526 37.001384830337976],[626.36377806826 188.75642018034526 37.001384830337976],[0 0 0]
25759,Fengyun 1C-Collision-Fragment,DEBRIS,0.051309909228455776,0.030510914705920614,0.0014459151776927475,0.04739009602397037,[12.792254091864073 -10.425127896186858 46.77544118202063],[12.792254091864073 -10.425127896186858 46.77544118202063],[0 0 0]
25760,Fengyun 1C-Collision-Fragment,DEBRIS,0.09183607404300743,0.23095502488317746,0.00464469398896833,0.02011081591023069,[-29.618969843139 -174.11570096753246 85.54760780181034],[-29.618969843139 -174.11570096753246 85.54760780181034],[0 0 0]
