ID,Name,Satellite Type,Characteristic Length [m],A/M [m^2/kg],Area [m^2],Mass [kg],Ejection Velocity [m/s],Velocity [m/s],Position [m],Semi-Major-Axis [m],Eccentricity,Inclination [rad],Longitude of the ascending node [rad],Argument of periapsis [rad],Mean Anomaly [rad]
24947,IRIDIUM 33-Collision-Fragment,DEBRIS,0.0918369974614679,0.08565528037482836,0.004644787614781207,0.054226518137067206,[-2.015447610836788 -10.251525387141994 -15.264824539280706],[-218.35435221435935 407.9945050072612 7433.544607361864],[6508917.055099439 2974483.386663436 14901.218633767334],7127346.575863327,0.004460860004991637,1.5087474399416825,0.42851883597108487,2.725692924562217,3.561393089765695
24948,IRIDIUM 33-Collision-Fragment,DEBRIS,0.05233865179478779,0.14281948986054374,0.0015046170294545059,0.010535095951705828,[-61.14491961330321 45.9859652025001 -4.696986087042908],[-277.4838242168258 464.2319955969033 7444.112445814102],[6508917.055099439 2974483.386663436 14901.218633767334],7157498.68764604,0.00588717123968954,1.4987090716827571,0.428497839266542,1.552217876495836,4.738940672811076
24949,IRIDIUM 33-Collision-Fragment,DEBRIS,0.07123192476613724,0.0792919010309451,0.0027910036550867,0.035199101280185725,[-119.96107790043936 -271.0899690459245 76.24996473480027],[-336.2999825039619 147.15606134847872 7525.059396635946],[6508917.055099439 2974483.386663436 14901.218633767334],7295570.140083882,0.03588700648616047,1.534453236129933,0.42857249416000903,1.0430480937654256,5.272916525351688
24950,IRIDIUM 33-Collision-Fragment,DEBRIS,0.05048680475605181,0.14868080446190107,0.0013997904660068845,0.009414735621541352,[-103.61231905011395 65.42652876075941 66.42788443459025],[-319.95122365363653 483.6725591551626 7515.237316335735],[6508917.055099439 2974483.386663436 14901.218633767334],7302764.957843105,0.022338108803717328,1.494713711796582,0.4284894741561797,0.4691120559575088,5.8261206636882426
24951,IRIDIUM 33-Collision-Fragment,DEBRIS,0.16703269532303602,0.0879691878977182,0.01540836190052368,0.17515635040804273,[20.17406339004246 -17.000744634486143 -13.913851571252062],[-196.16484121348012 401.24528575991707 7434.895580329893],[6508917.055099439 2974483.386663436 14901.218633767334],7128038.297905145,0.004009336052515595,1.5108168305587668,0.42852316100718446,3.272039214204298,3.012717820991878
24952,IRIDIUM 33-Collision-Fragment,DEBRIS,0.07626021698400645,0.14168164981497594,0.003199974939363093,0.022585669658293683,[38.528274363810354 -283.5028329598174 -112.81009439588703],[-177.81063023971222 134.7431974345858 7335.999337505258],[6508917.055099439 2974483.386663436 14901.218633767334],6928498.302284466,0.03512088943964475,1.5440234992665967,0.42859244169003136,2.7974942083859116,3.4998946921990397
24953,IRIDIUM 33-Collision-Fragment,DEBRIS,0.06071802572368229,0.18562139114092394,0.0020263749939712842,0.010916710523049891,[25.36281324728594 -43.98160006641271 -85.62957926541976],[-190.97609135623662 374.26443032799045 7363.179852635725],[6508917.055099439 2974483.386663436 14901.218633767334],6992467.21665599,0.02344442393767188,1.5138473298683934,0.428529492835899,3.127827170333404,3.1578198116271903
24954,IRIDIUM 33-Collision-Fragment,DEBRIS,0.056007573919022335,0.15000883974869286,0.001723506605200895,0.011489366947229608,[10.104292104738144 21.98916331845451 -32.95061216488339],[-206.23461249878443 440.2351937128577 7415.8588197362615],[6508917.055099439 2974483.386663436 14901.218633767334],7096837.518023524,0.008515962216244321,1.5053378283779408,0.42851170742319544,3.314433438365527,2.9693853647300497
24955,IRIDIUM 33-Collision-Fragment,DEBRIS,0.0583333503024996,0.16841166822843334,0.0018699778274759362,0.011103612042720822,[-690.614140273707 367.93194859457765 237.30872420206464],[-906.9530448772296 786.1779789889808 7686.11815610321],[6508917.055099439 2974483.386663436 14901.218633767334],7834101.304439217,0.10628299388367327,1.4296829330668734,0.42835240529129043,0.6866823629677968,5.6633098948747955
24956,IRIDIUM 33-Collision-Fragment,DEBRIS,0.12141933392717633,0.03711083455155025,0.008129748368451494,0.21906670832633932,[24.11472786634531 5.610703979543827 -16.302857691585615],[-192.22417673717726 423.856734373947 7432.506574209559],[6508917.055099439 2974483.386663436 14901.218633767334],7125694.661940156,0.004862361877069298,1.5082602970278636,0.4285178176797627,3.6243553034438154,2.6586631886475627
24957,IRIDIUM 33-Collision-Fragment,DEBRIS,0.07154446813382451,0.08962266771530679,0.00281560751717864,0.03141624311075666,[-49.528559029799126 -92.18696467151587 -91.14594258353321],[-265.8674636333217 326.05906572288734 7357.663489317612],[6508917.055099439 2974483.386663436 14901.218633767334],6982575.823505094,0.02778205537955986,1.5155289422186422,0.42853300539194605,2.695620957608047,3.6018401997815195
24958,IRIDIUM 33-Collision-Fragment,DEBRIS,0.06448026622307727,0.04431549826856217,0.00228592033925471,0.051582864428185014,[-11.843128805898463 -11.206292268394355 2.267771539216418],[-228.18203340942102 407.03973812600884 7451.077203440362],[6508917.055099439 2974483.386663436 14901.218633767334],7161225.405812032,0.003133320349015541,1.5084632276627967,0.4285182418800591,1.3582860644462507,4.930045958056773
24959,IRIDIUM 33-Collision-Fragment,DEBRIS,0.06165625376532366,2.0046034062449145,0.0020896336424658267,0.0010424174856512858,[-684.2019102608497 -201.13259795711414 -288.5970283896729],[-900.5408148643722 217.11343243728905 7160.212403511472],[6508917.055099439 2974483.386663436 14901.218633767334],6725109.869357456,0.11768536121118293,1.491128015495214,0.4284819624290859,2.2450331350222847,4.136103055005272
24960,IRIDIUM 33-Collision-Fragment,DEBRIS,0.08556579663703232,0.2875784442010244,0.004030754014622796,0.014016189655039653,[137.8833381467398 236.66518479993067 64.76959126976539],[-78.45556645678278 654.9112151943339 7513.579023170911],[6508917.055099439 2974483.386663436 14901.218633767334],7312656.871798949,0.035780199067257205,1.4873678654859017,0.42847408061185266,5.325567589240385,0.930692974385847
24961,IRIDIUM 33-Collision-Fragment,DEBRIS,0.06078074785388563,0.02080224516556504,0.00203057354413381,0.0976131916517894,[37.51657983695341 29.82351114930789 -9.741957403205369],[-178.82232476656915 448.06954154371107 7439.06747449794],[6508917.055099439 2974483.386663436 14901.218633767334],7140209.058023039,0.005710882327235485,1.5061122844583583,0.4285133268688339,4.301460112952095,1.9785750745361634
