label,min_cl,mean_ms,min_ms,max_ms,std_ms,fragments,n_runs
subcol,0.001,41414.666666666664,30548,56192,13261.737040574033,4160890,3
subcol,0.0025,9919.666666666666,8272,12542,2295.801893311645,798313,3
subcol,0.005,1930.6666666666667,1392,2821,776.6996416461985,276160,3
subcol,0.0075,757.6666666666666,724,823,56.58916268450465,122627,3
subcol,0.01,557.3333333333334,511,622,57.72636601530823,81673,3
subcol,0.0125,338.0,294,385,45.574115460423364,56574,3
subcol,0.015,297.6666666666667,259,351,47.72141378179542,37912,3
subcol,0.0175,214.0,201,229,14.106735979665885,30013,3
subcol,0.02,173.33333333333334,159,190,15.631165450257807,23927,3
subcol,0.03,102.66666666666667,85,117,16.258331197676263,13999,3
subcol,0.04,71.0,57,85,14.0,8733,3
subcol,0.05,52.666666666666664,47,56,4.932882862316248,4868,3
subcol,0.075,37.333333333333336,36,39,1.5275252316519465,2974,3
subcol,0.1,23.0,22,24,1.0,1628,3
subcol,0.2,10.333333333333334,8,12,2.0816659994661326,582,3
