label,min_cl,mean_ms,min_ms,max_ms,std_ms,fragments,n_runs
main,0.001,33348.0,26416,36937,6004.548026288074,3287707,3
main,0.0025,3523.0,2639,4448,905.1966637145764,881795,3
main,0.005,1020.3333333333334,921,1077,86.3095205254515,251924,3
main,0.0075,500.6666666666667,432,538,59.54270176380422,125966,3
main,0.01,320.3333333333333,303,349,25.006665778014735,68737,3
main,0.0125,230.33333333333334,201,279,42.44211744639202,44115,3
main,0.015,172.0,164,178,7.211102550927978,32800,3
main,0.0175,167.0,146,197,26.664583251946766,29297,3
main,0.02,124.66666666666667,105,135,17.03917055884274,20102,3
main,0.03,70.0,67,72,2.6457513110645907,12269,3
main,0.04,42.666666666666664,36,56,11.547005383792515,8748,3
main,0.05,34.666666666666664,32,38,3.055050463303893,5515,3
main,0.075,20.666666666666668,18,23,2.5166114784235836,2784,3
main,0.1,15.666666666666666,15,16,0.5773502691896257,1879,3
main,0.2,6.333333333333333,5,8,1.5275252316519465,531,3
