ID,Name,Satellite Type,Characteristic Length [m],A/M [m^2/kg],Area [m^2],Mass [kg],Ejection Velocity [m/s],Velocity [m/s],Position [m]
24947,Satellite 1-Collision-Fragment,DEBRIS,0.08169523711973632,0.22702912132438888,0.0036735396631517345,0.01618091829683305,[36.03026258777225 65.24163084989186 12.575019055421498],[5036.030262587772 65.24163084989186 12.575019055421498],[6800000 0 0]
24948,Satellite 1-Collision-Fragment,DEBRIS,0.09781105658468266,0.5234470966662697,0.005270299056155899,0.010068446438467965,[125.33470389448625 -105.80255929587635 -204.89271509253942],[5125.334703894487 -105.80255929587635 -204.89271509253942],[6800000 0 0]
24949,Satellite 1-Collision-Fragment,DEBRIS,0.05577034068881044,0.039230481433024454,0.0017089027443697635,0.04356058559432306,[-13.787151127159953 13.933661731219363 -28.712385237229167],[4986.21284887284 13.933661731219363 -28.712385237229167],[6800000 0 0]
24950,Satellite 1-Collision-Fragment,DEBRIS,0.05015457565376878,0.28863381908978253,0.001381385464978842,0.004785944590052172,[51.74806465472629 -177.56941063255815 -307.18222518662293],[5051.7480646547265 -177.56941063255815 -307.18222518662293],[6800000 0 0]
24951,Satellite 1-Collision-Fragment,DEBRIS,0.05993288763483092,0.05729716779008279,0.001974187191497073,0.03445523169190176,[-12.660569425609525 17.840275155070856 15.061514933472967],[4987.3394305743905 17.840275155070856 15.061514933472967],[6800000 0 0]
24952,Satellite 1-Collision-Fragment,DEBRIS,0.06284474371282436,0.26438263456161715,0.0021711650487574448,0.008212207478594559,[306.4704668124684 88.64602269826037 -141.02722001487385],[5306.470466812469 88.64602269826037 -141.02722001487385],[6800000 0 0]
24953,Satellite 1-Collision-Fragment,DEBRIS,0.055125682385303736,0.22769288175958147,0.0016695327340502915,0.007332388791201359,[-27.10818603938029 -22.83090916293081 -46.018772594666544],[4972.891813960619 -22.83090916293081 -46.018772594666544],[6800000 0 0]
24954,Satellite 1-Collision-Fragment,DEBRIS,0.09795168414482877,0.03804838225332928,0.0052855004135445634,0.13891524686524814,[-23.453036092224977 2.146953489470568 5.416402740265183],[4976.546963907775 2.146953489470568 5.416402740265183],[6800000 0 0]
24955,Satellite 1-Collision-Fragment,DEBRIS,0.07401154901608122,0.01699270241470197,0.003013618673598971,0.17734781673052832,[-2.215796456782143 -0.896181652918596 5.575217062585312],[4997.784203543218 -0.896181652918596 5.575217062585312],[6800000 0 0]
24956,Satellite 1-Collision-Fragment,DEBRIS,0.09919318591232193,0.10625509586670057,0.005420654478223273,0.05101547774257912,[-33.81204036059328 -38.56353891522 -43.51831824109409],[4966.1879596394065 -38.56353891522 -43.51831824109409],[6800000 0 0]
24957,Satellite 1-Collision-Fragment,DEBRIS,0.06390196829935202,0.48430596965360834,0.002245005966985388,0.004635511655144558,[-23.004538249770984 -279.1080025221205 261.398595051783],[4976.995461750229 -279.1080025221205 261.398595051783],[6800000 0 0]
24958,Satellite 1-Collision-Fragment,DEBRIS,0.11617381045486758,0.023999549667547086,0.007440936322662407,0.3100448310796542,[1.8231245141977153 1.669036608398688 -0.3187637025675848],[5001.823124514198 1.669036608398688 -0.3187637025675848],[6800000 0 0]
24959,Satellite 1-Collision-Fragment,DEBRIS,0.07110440041024674,0.13139979825669698,0.002780995842454141,0.02116438441573028,[-2.3544624917155224 -19.411968342148583 -34.86028981220195],[4997.645537508284 -19.411968342148583 -34.86028981220195],[6800000 0 0]
24960,Satellite 1-Collision-Fragment,DEBRIS,0.05805721930241886,0.24126340916597047,0.0018522746266582022,0.00767739556139647,[146.3463642060416 -497.64890434659566 580.7818863668119],[5146.3463642060415 -497.64890434659566 580.7818863668119],[6800000 0 0]
24961,Satellite 1-Collision-Fragment,DEBRIS,0.05020969592999396,0.2002024421068307,0.0013844305994094273,0.0069151534059243725,[35.026056287975045 -105.74520021356705 -105.24082297706514],[5035.026056287975 -105.74520021356705 -105.24082297706514],[6800000 0 0]
24962,Satellite 1-Collision-Fragment,DEBRIS,0.09369834231020538,0.2177655772245463,0.0048354327402726415,0.022204761661144656,[53.89681494351119 15.946744630362868 -92.14157485995905],[5053.896814943511 15.946744630362868 -92.14157485995905],[6800000 0 0]
24963,Satellite 1-Collision-Fragment,DEBRIS,0.10022804892955627,0.21486656496265602,0.005534620142015122,0.02575840565504942,[120.38855985169698 -38.47951262499256 -69.35850974629325],[5120.388559851697 -38.47951262499256 -69.35850974629325],[6800000 0 0]
24964,Satellite 1-Collision-Fragment,DEBRIS,0.10637998419713167,0.09935700458392324,0.006236643230610061,0.06277004079105661,[15.71228675655897 -183.07845873618132 68.29994041884022],[5015.712286756559 -183.07845873618132 68.29994041884022],[6800000 0 0]
24965,Satellite 1-Collision-Fragment,DEBRIS,0.10783157218871957,0.1537603582419829,0.0064084152026330984,0.04167794141418264,[-40.800088384691584 24.516543960232404 88.3627729286531],[4959.199911615308 24.516543960232404 88.3627729286531],[6800000 0 0]
24966,Satellite 1-Collision-Fragment,DEBRIS,0.25160996519721923,0.01822992204244838,0.035030536701063805,1.9215955295637133,[2.8769814020618885 1.714730862817167 1.50855590784331],[5002.876981402062 1.714730862817167 1.50855590784331],[6800000 0 0]
24967,Satellite 1-Collision-Fragment,DEBRIS,0.105766600555698,0.2328804144214751,0.006164762173601005,0.0264717932116172,[-29.806417994529532 -68.8853578913768 -160.64855762516984],[4970.1935820054705 -68.8853578913768 -160.64855762516984],[6800000 0 0]
24968,Satellite 1-Collision-Fragment,DEBRIS,0.09016838998328115,0.13062157999586796,0.004477150039787739,0.034275730242501794,[45.05084598655465 41.373299742339434 -31.063219472995744],[5045.050845986555 41.373299742339434 -31.063219472995744],[6800000 0 0]
24969,Satellite 1-Collision-Fragment,DEBRIS,0.056784344644249043,0.10975440581153188,0.0017717597332604373,0.016142948614772407,[20.321920413252077 -0.5559025224407509 -7.1517041044267184],[5020.321920413252 -0.5559025224407509 -7.1517041044267184],[6800000 0 0]
24970,Satellite 1-Collision-Fragment,DEBRIS,0.053767583338939405,0.04795368939918018,0.0015880969610543713,0.03311730506978513,[10.333720083991969 -26.507757049796734 29.300827794968946],[5010.333720083992 -26.507757049796734 29.300827794968946],[6800000 0 0]
24971,Satellite 1-Collision-Fragment,DEBRIS,0.05217044091519403,0.27570281427676224,0.0014949385564042863,0.005422282541169867,[-437.897660932085 -153.11045879727016 -50.40383374120243],[4562.102339067915 -153.11045879727016 -50.40383374120243],[6800000 0 0]
24972,Satellite 1-Collision-Fragment,DEBRIS,0.09791903103884328,0.12351596434835277,0.005281968768680587,0.04276345002483906,[-30.49176026624417 70.84125236216393 68.96383654162574],[4969.5082397337555 70.84125236216393 68.96383654162574],[6800000 0 0]
24973,Satellite 1-Collision-Fragment,DEBRIS,0.37455534169765503,0.05622002615824748,0.07777437698859899,1.383392757052097,[110.5072855538951 78.04150282865396 23.902573333274415],[5110.507285553895 78.04150282865396 23.902573333274415],[6800000 0 0]
24974,Satellite 1-Collision-Fragment,DEBRIS,0.1123570322472706,0.2840375086558818,0.006958943958244496,0.02450008800307928,[75.36011222138949 39.82829146567838 67.57103828564871],[5075.3601122213895 39.82829146567838 67.57103828564871],[6800000 0 0]
24975,Satellite 1-Collision-Fragment,DEBRIS,0.10630611777866109,0.3812829469006777,0.006227964872551981,0.016334233993880495,[-149.1544050385089 -526.7946773399218 407.4317523358616],[4850.845594961491 -526.7946773399218 407.4317523358616],[6800000 0 0]
24976,Satellite 1-Collision-Fragment,DEBRIS,0.06866240120152246,0.1108171734077954,0.0025928291798146025,0.023397358911811144,[-86.6822281966553 88.31187820774795 -23.7480212050055],[4913.317771803345 88.31187820774795 -23.7480212050055],[6800000 0 0]
24977,Satellite 1-Collision-Fragment,DEBRIS,0.057275865024672454,0.08278524872672118,0.0018026380192967895,0.021774869883490963,[62.643023724404735 -66.73429457183992 31.161100134912665],[5062.643023724405 -66.73429457183992 31.161100134912665],[6800000 0 0]
24978,Satellite 1-Collision-Fragment,DEBRIS,0.0642221156656119,0.16630462879482708,0.0022676105195810624,0.013635282048454905,[88.35426787766704 -51.398622448710334 -7.247088703688367],[5088.354267877667 -51.398622448710334 -7.247088703688367],[6800000 0 0]
24979,Satellite 1-Collision-Fragment,DEBRIS,0.06038247056346488,0.05577178070412897,0.0020039872780855056,0.0359319220721447,[-20.599758327711044 28.49199823918083 30.34957984944794],[4979.400241672289 28.49199823918083 30.34957984944794],[6800000 0 0]
24980,Satellite 1-Collision-Fragment,DEBRIS,0.0623072598907153,0.3417932148380856,0.0021340995002620856,0.0062438322576796965,[160.31947999529316 530.2037828221089 -51.90494475679326],[5160.3194799952935 530.2037828221089 -51.90494475679326],[6800000 0 0]
24981,Satellite 1-Collision-Fragment,DEBRIS,0.06205825257674228,0.061875771419309784,0.0021170360676721236,0.034214297763267204,[176.23359506569867 152.62421521880412 0.612685578054099],[5176.233595065699 152.62421521880412 0.612685578054099],[6800000 0 0]
24982,Satellite 1-Collision-Fragment,DEBRIS,0.11012067774370742,0.13076044295223924,0.006684046564388991,0.05111673235024422,[157.62454556587255 82.58588357516464 -43.814490012956774],[5157.624545565873 82.58588357516464 -43.814490012956774],[6800000 0 0]
24983,Satellite 1-Collision-Fragment,DEBRIS,0.05558398700678844,0.025081423117896705,0.0016974746590109916,0.06767856237789667,[-14.284462091699968 11.960867769075639 2.1950008918385735],[4985.7155379083 11.960867769075639 2.1950008918385735],[6800000 0 0]
24984,Satellite 1-Collision-Fragment,DEBRIS,0.05532582448477373,1.3596922504699565,0.0016817064131647809,0.0012368287107494547,[-92.03046515938574 -210.94862766502857 423.14805144625734],[4907.969534840614 -210.94862766502857 423.14805144625734],[6800000 0 0]
24985,Satellite 1-Collision-Fragment,DEBRIS,0.10489445710018316,0.16727240386822909,0.006063276662481748,0.036247919694262117,[31.609703047514763 103.8964666122953 -90.80009907367084],[5031.609703047515 103.8964666122953 -90.80009907367084],[6800000 0 0]
24986,Satellite 1-Collision-Fragment,DEBRIS,0.09299874544694196,0.052249796675154545,0.0047633269153932786,0.09116450624693631,[-215.97565041413094 -159.99302204846322 -19.836466176369303],[4784.0243495858695 -159.99302204846322 -19.836466176369303],[6800000 0 0]
24987,Satellite 1-Collision-Fragment,DEBRIS,0.12978235867467575,0.06925160321368858,0.009291138208103664,0.13416495470053083,[-14.25145740542614 11.338400172557703 17.041591199338054],[4985.748542594574 11.338400172557703 17.041591199338054],[6800000 0 0]
24988,Satellite 1-Collision-Fragment,DEBRIS,0.09071278771626987,0.0560997709733879,0.004531503842317724,0.08077579932487315,[51.691917099761625 -48.608479177439605 110.27893296875399],[5051.691917099762 -48.608479177439605 110.27893296875399],[6800000 0 0]
24989,Satellite 1-Collision-Fragment,DEBRIS,0.10143818457489213,0.06740042662326372,0.005669395311907524,0.08411512502134064,[38.58736789785768 85.52781914101237 -99.35465468051714],[5038.587367897858 85.52781914101237 -99.35465468051714],[6800000 0 0]
24990,Satellite 1-Collision-Fragment,DEBRIS,0.059487366912083076,0.07878834453611151,0.0019448770928500736,0.024684832563764136,[-5.853212173046529 -10.942552340113512 6.374832866061784],[4994.146787826953 -10.942552340113512 6.374832866061784],[6800000 0 0]
24991,Satellite 1-Collision-Fragment,DEBRIS,0.08757941728246944,0.0955213602944043,0.0042231602185629985,0.04421168423007051,[-103.98525274341773 -198.31871930995806 30.008163469155004],[4896.014747256582 -198.31871930995806 30.008163469155004],[6800000 0 0]
24992,Satellite 1-Collision-Fragment,DEBRIS,0.21593970615022046,0.17065249606091956,0.02578360021461065,0.15108832750624646,[-1.326810478380376 -179.06506929602222 -140.77087412096247],[4998.67318952162 -179.06506929602222 -140.77087412096247],[6800000 0 0]
24993,Satellite 1-Collision-Fragment,DEBRIS,0.07598013009886691,0.16831139046999963,0.0031764574828824317,0.018872504552498566,[18.409803767126917 -9.390735294128449 35.87640096655964],[5018.4098037671265 -9.390735294128449 35.87640096655964],[6800000 0 0]
