label,min_cl,mean_ms,min_ms,max_ms,std_ms,fragments,n_runs
main,0.001,2138.6666666666665,1268,3809,1446.986638961581,3763486,3
main,0.0025,272.6666666666667,255,292,18.556220879622373,823726,3
main,0.005,57.333333333333336,51,66,7.767453465154029,239607,3
main,0.0075,37.0,32,45,7.0,130430,3
main,0.01,28.0,20,36,8.0,63933,3
main,0.0125,19.0,14,25,5.5677643628300215,46450,3
main,0.015,15.333333333333334,13,17,2.081665999466133,33506,3
main,0.0175,13.666666666666666,13,14,0.5773502691896257,25581,3
main,0.02,8.0,7,9,1.0,20846,3
main,0.03,6.0,5,7,1.0,14303,3
main,0.04,3.0,3,3,0.0,7397,3
main,0.05,2.3333333333333335,2,3,0.5773502691896258,4407,3
main,0.075,3.0,2,5,1.7320508075688772,3073,3
main,0.1,1.3333333333333333,1,2,0.5773502691896257,1953,3
main,0.2,1.0,1,1,0.0,602,3
